# Logfile created on 2013-11-08 17:13:35 +0000 by logger.rb/36483
I, [2013-11-11T00:22:51.108199 #12181]  INFO -- : 2013-11-11T00:22:51+0000: [Worker(host:infinity.lan pid:12181)] Starting job worker
I, [2013-11-11T00:22:56.513890 #12181]  INFO -- : 2013-11-11T00:22:56+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=7) RUNNING
I, [2013-11-11T00:22:57.426350 #12181]  INFO -- : 2013-11-11T00:22:57+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=7) COMPLETED after 0.9123
I, [2013-11-11T00:22:57.429207 #12181]  INFO -- : 2013-11-11T00:22:57+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=8) RUNNING
I, [2013-11-11T00:22:58.337789 #12181]  INFO -- : 2013-11-11T00:22:58+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=8) COMPLETED after 0.9085
I, [2013-11-11T00:22:58.341190 #12181]  INFO -- : 2013-11-11T00:22:58+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=9) RUNNING
I, [2013-11-11T00:22:59.160341 #12181]  INFO -- : 2013-11-11T00:22:59+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=9) COMPLETED after 0.8190
I, [2013-11-11T00:22:59.161596 #12181]  INFO -- : 2013-11-11T00:22:59+0000: [Worker(host:infinity.lan pid:12181)] 9 jobs processed at 1.1176 j/s, 0 failed
I, [2013-11-11T00:23:04.171308 #12181]  INFO -- : 2013-11-11T00:23:04+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=10) RUNNING
I, [2013-11-11T00:23:05.041452 #12181]  INFO -- : 2013-11-11T00:23:05+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=10) COMPLETED after 0.8700
I, [2013-11-11T00:23:05.044388 #12181]  INFO -- : 2013-11-11T00:23:05+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=11) RUNNING
I, [2013-11-11T00:23:05.897188 #12181]  INFO -- : 2013-11-11T00:23:05+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=11) COMPLETED after 0.8527
I, [2013-11-11T00:23:05.898654 #12181]  INFO -- : 2013-11-11T00:23:05+0000: [Worker(host:infinity.lan pid:12181)] 2 jobs processed at 1.1526 j/s, 0 failed
I, [2013-11-11T00:23:15.910062 #12181]  INFO -- : 2013-11-11T00:23:15+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=12) RUNNING
I, [2013-11-11T00:23:16.706029 #12181]  INFO -- : 2013-11-11T00:23:16+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=12) COMPLETED after 0.7958
I, [2013-11-11T00:23:16.709168 #12181]  INFO -- : 2013-11-11T00:23:16+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=13) RUNNING
I, [2013-11-11T00:23:17.502933 #12181]  INFO -- : 2013-11-11T00:23:17+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=13) COMPLETED after 0.7936
I, [2013-11-11T00:23:17.504200 #12181]  INFO -- : 2013-11-11T00:23:17+0000: [Worker(host:infinity.lan pid:12181)] 2 jobs processed at 1.2488 j/s, 0 failed
I, [2013-11-11T00:23:22.513465 #12181]  INFO -- : 2013-11-11T00:23:22+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=14) RUNNING
I, [2013-11-11T00:23:23.325813 #12181]  INFO -- : 2013-11-11T00:23:23+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=14) COMPLETED after 0.8122
I, [2013-11-11T00:23:23.328677 #12181]  INFO -- : 2013-11-11T00:23:23+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=15) RUNNING
I, [2013-11-11T00:23:24.182862 #12181]  INFO -- : 2013-11-11T00:23:24+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=15) COMPLETED after 0.8541
I, [2013-11-11T00:23:24.185729 #12181]  INFO -- : 2013-11-11T00:23:24+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=16) RUNNING
I, [2013-11-11T00:23:25.030131 #12181]  INFO -- : 2013-11-11T00:23:25+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=16) COMPLETED after 0.8443
I, [2013-11-11T00:23:25.032888 #12181]  INFO -- : 2013-11-11T00:23:25+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=17) RUNNING
I, [2013-11-11T00:23:25.911640 #12181]  INFO -- : 2013-11-11T00:23:25+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=17) COMPLETED after 0.8786
I, [2013-11-11T00:23:25.912888 #12181]  INFO -- : 2013-11-11T00:23:25+0000: [Worker(host:infinity.lan pid:12181)] 4 jobs processed at 1.1742 j/s, 0 failed
I, [2013-11-11T00:23:35.925463 #12181]  INFO -- : 2013-11-11T00:23:35+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=18) RUNNING
I, [2013-11-11T00:23:36.750556 #12181]  INFO -- : 2013-11-11T00:23:36+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=18) COMPLETED after 0.8249
I, [2013-11-11T00:23:36.753497 #12181]  INFO -- : 2013-11-11T00:23:36+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=19) RUNNING
I, [2013-11-11T00:23:37.771999 #12181]  INFO -- : 2013-11-11T00:23:37+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=19) COMPLETED after 1.0184
I, [2013-11-11T00:23:37.773418 #12181]  INFO -- : 2013-11-11T00:23:37+0000: [Worker(host:infinity.lan pid:12181)] 2 jobs processed at 1.0781 j/s, 0 failed
I, [2013-11-11T00:34:13.683503 #13347]  INFO -- : 2013-11-11T00:34:13+0000: [Worker(host:infinity.lan pid:13347)] Starting job worker
I, [2013-11-11T00:34:13.939670 #13347]  INFO -- : 2013-11-11T00:34:13+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=21) RUNNING
I, [2013-11-11T00:34:13.983568 #13347]  INFO -- : 2013-11-11T00:34:13+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=21) COMPLETED after 0.0435
I, [2013-11-11T00:34:13.992056 #13347]  INFO -- : 2013-11-11T00:34:13+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=22) RUNNING
I, [2013-11-11T00:34:13.999969 #13347]  INFO -- : 2013-11-11T00:34:13+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=22) COMPLETED after 0.0076
I, [2013-11-11T00:34:14.007127 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=23) RUNNING
I, [2013-11-11T00:34:14.014127 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=23) COMPLETED after 0.0067
I, [2013-11-11T00:34:14.020936 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=24) RUNNING
I, [2013-11-11T00:34:14.027857 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=24) COMPLETED after 0.0066
I, [2013-11-11T00:34:14.034710 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=25) RUNNING
I, [2013-11-11T00:34:14.042232 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=25) COMPLETED after 0.0072
I, [2013-11-11T00:34:14.049665 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=26) RUNNING
I, [2013-11-11T00:34:14.057047 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=26) COMPLETED after 0.0071
I, [2013-11-11T00:34:14.065314 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=27) RUNNING
I, [2013-11-11T00:34:14.072657 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=27) COMPLETED after 0.0070
I, [2013-11-11T00:34:14.079605 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=28) RUNNING
I, [2013-11-11T00:34:14.086494 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=28) COMPLETED after 0.0066
I, [2013-11-11T00:34:14.093161 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=29) RUNNING
I, [2013-11-11T00:34:14.100509 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=29) COMPLETED after 0.0070
I, [2013-11-11T00:34:14.103551 #13347]  INFO -- : 2013-11-11T00:34:14+0000: [Worker(host:infinity.lan pid:13347)] 9 jobs processed at 21.4480 j/s, 0 failed
I, [2013-11-11T00:34:24.120825 #13347]  INFO -- : 2013-11-11T00:34:24+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=30) RUNNING
I, [2013-11-11T00:34:24.129271 #13347]  INFO -- : 2013-11-11T00:34:24+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=30) COMPLETED after 0.0081
I, [2013-11-11T00:34:24.136100 #13347]  INFO -- : 2013-11-11T00:34:24+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=31) RUNNING
I, [2013-11-11T00:34:24.142841 #13347]  INFO -- : 2013-11-11T00:34:24+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=31) COMPLETED after 0.0064
I, [2013-11-11T00:34:24.146010 #13347]  INFO -- : 2013-11-11T00:34:24+0000: [Worker(host:infinity.lan pid:13347)] 2 jobs processed at 58.5257 j/s, 0 failed
I, [2013-11-11T00:34:34.161986 #13347]  INFO -- : 2013-11-11T00:34:34+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=32) RUNNING
I, [2013-11-11T00:34:34.169686 #13347]  INFO -- : 2013-11-11T00:34:34+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=32) COMPLETED after 0.0073
I, [2013-11-11T00:34:34.176519 #13347]  INFO -- : 2013-11-11T00:34:34+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=33) RUNNING
I, [2013-11-11T00:34:34.183657 #13347]  INFO -- : 2013-11-11T00:34:34+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=33) COMPLETED after 0.0068
I, [2013-11-11T00:34:34.186616 #13347]  INFO -- : 2013-11-11T00:34:34+0000: [Worker(host:infinity.lan pid:13347)] 2 jobs processed at 60.4979 j/s, 0 failed
I, [2013-11-11T00:34:44.202722 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=34) RUNNING
I, [2013-11-11T00:34:44.210320 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=34) COMPLETED after 0.0073
I, [2013-11-11T00:34:44.217067 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=35) RUNNING
I, [2013-11-11T00:34:44.224212 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=35) COMPLETED after 0.0068
I, [2013-11-11T00:34:44.230864 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=36) RUNNING
I, [2013-11-11T00:34:44.237734 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=36) COMPLETED after 0.0065
I, [2013-11-11T00:34:44.240897 #13347]  INFO -- : 2013-11-11T00:34:44+0000: [Worker(host:infinity.lan pid:13347)] 3 jobs processed at 65.2671 j/s, 0 failed
I, [2013-11-11T00:34:49.256070 #13347]  INFO -- : 2013-11-11T00:34:49+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=37) RUNNING
I, [2013-11-11T00:34:49.263581 #13347]  INFO -- : 2013-11-11T00:34:49+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=37) COMPLETED after 0.0072
I, [2013-11-11T00:34:49.266599 #13347]  INFO -- : 2013-11-11T00:34:49+0000: [Worker(host:infinity.lan pid:13347)] 1 jobs processed at 46.3779 j/s, 0 failed
I, [2013-11-11T00:34:54.277762 #13347]  INFO -- : 2013-11-11T00:34:54+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=38) RUNNING
I, [2013-11-11T00:34:54.286428 #13347]  INFO -- : 2013-11-11T00:34:54+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=38) COMPLETED after 0.0083
I, [2013-11-11T00:34:54.290208 #13347]  INFO -- : 2013-11-11T00:34:54+0000: [Worker(host:infinity.lan pid:13347)] 1 jobs processed at 48.6405 j/s, 0 failed
I, [2013-11-11T00:34:59.302853 #13347]  INFO -- : 2013-11-11T00:34:59+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=39) RUNNING
I, [2013-11-11T00:34:59.310337 #13347]  INFO -- : 2013-11-11T00:34:59+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=39) COMPLETED after 0.0072
I, [2013-11-11T00:34:59.313478 #13347]  INFO -- : 2013-11-11T00:34:59+0000: [Worker(host:infinity.lan pid:13347)] 1 jobs processed at 50.7202 j/s, 0 failed
I, [2013-11-11T00:35:04.324937 #13347]  INFO -- : 2013-11-11T00:35:04+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=40) RUNNING
I, [2013-11-11T00:35:04.332939 #13347]  INFO -- : 2013-11-11T00:35:04+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=40) COMPLETED after 0.0077
I, [2013-11-11T00:35:04.335978 #13347]  INFO -- : 2013-11-11T00:35:04+0000: [Worker(host:infinity.lan pid:13347)] 1 jobs processed at 53.7634 j/s, 0 failed
I, [2013-11-11T00:35:09.349005 #13347]  INFO -- : 2013-11-11T00:35:09+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=41) RUNNING
I, [2013-11-11T00:35:09.356500 #13347]  INFO -- : 2013-11-11T00:35:09+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=41) COMPLETED after 0.0071
I, [2013-11-11T00:35:09.359548 #13347]  INFO -- : 2013-11-11T00:35:09+0000: [Worker(host:infinity.lan pid:13347)] 1 jobs processed at 48.7496 j/s, 0 failed
I, [2013-11-11T00:35:14.371512 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=42) RUNNING
I, [2013-11-11T00:35:14.379927 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=42) COMPLETED after 0.0080
I, [2013-11-11T00:35:14.390760 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=43) RUNNING
I, [2013-11-11T00:35:14.401242 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=43) COMPLETED after 0.0100
I, [2013-11-11T00:35:14.412465 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=44) RUNNING
I, [2013-11-11T00:35:14.420861 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=44) COMPLETED after 0.0079
I, [2013-11-11T00:35:14.431157 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=45) RUNNING
I, [2013-11-11T00:35:14.439205 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=45) COMPLETED after 0.0076
I, [2013-11-11T00:35:14.447228 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=46) RUNNING
I, [2013-11-11T00:35:14.457841 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] Job Services::Checkup#check_without_delay (id=46) COMPLETED after 0.0101
I, [2013-11-11T00:35:14.464769 #13347]  INFO -- : 2013-11-11T00:35:14+0000: [Worker(host:infinity.lan pid:13347)] 5 jobs processed at 49.0042 j/s, 0 failed
I, [2013-11-11T10:12:35.223784 #14034]  INFO -- : 2013-11-11T10:12:35+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Starting job worker
I, [2013-11-11T10:12:35.320169 #14034]  INFO -- : 2013-11-11T10:12:35+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=47) RUNNING
I, [2013-11-11T10:13:24.813575 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=47) COMPLETED after 49.4932
I, [2013-11-11T10:13:24.816464 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=48) RUNNING
I, [2013-11-11T10:13:24.819141 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=48) COMPLETED after 0.0026
I, [2013-11-11T10:13:24.821703 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=49) RUNNING
I, [2013-11-11T10:13:24.824158 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=49) COMPLETED after 0.0023
I, [2013-11-11T10:13:24.826855 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=50) RUNNING
I, [2013-11-11T10:13:24.829491 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=50) COMPLETED after 0.0025
I, [2013-11-11T10:13:24.831814 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=51) RUNNING
I, [2013-11-11T10:13:24.834108 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=51) COMPLETED after 0.0022
I, [2013-11-11T10:13:24.836367 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=52) RUNNING
I, [2013-11-11T10:13:24.838913 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=52) COMPLETED after 0.0024
I, [2013-11-11T10:13:24.841162 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=53) RUNNING
I, [2013-11-11T10:13:24.843837 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=53) COMPLETED after 0.0025
I, [2013-11-11T10:13:24.846406 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=54) RUNNING
I, [2013-11-11T10:13:24.849037 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=54) COMPLETED after 0.0025
I, [2013-11-11T10:13:24.851392 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=55) RUNNING
I, [2013-11-11T10:13:24.853869 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=55) COMPLETED after 0.0024
I, [2013-11-11T10:13:24.856380 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=56) RUNNING
I, [2013-11-11T10:13:24.858768 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=56) COMPLETED after 0.0023
I, [2013-11-11T10:13:24.860948 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=57) RUNNING
I, [2013-11-11T10:13:24.863182 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=57) COMPLETED after 0.0021
I, [2013-11-11T10:13:24.865545 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=58) RUNNING
I, [2013-11-11T10:13:24.867945 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=58) COMPLETED after 0.0023
I, [2013-11-11T10:13:24.870045 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=59) RUNNING
I, [2013-11-11T10:13:24.872354 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=59) COMPLETED after 0.0022
I, [2013-11-11T10:13:24.874535 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=60) RUNNING
I, [2013-11-11T10:13:24.876746 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=60) COMPLETED after 0.0021
I, [2013-11-11T10:13:24.879444 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=61) RUNNING
I, [2013-11-11T10:13:24.881884 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=61) COMPLETED after 0.0023
I, [2013-11-11T10:13:24.884001 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=62) RUNNING
I, [2013-11-11T10:13:24.886156 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] Job Services::Checkup#check_without_delay (id=62) COMPLETED after 0.0021
I, [2013-11-11T10:13:24.887081 #14034]  INFO -- : 2013-11-11T10:13:24+0000: [Worker(host:expression.clients.ua.pt pid:14034)] 16 jobs processed at 0.3222 j/s, 0 failed
